藥品代碼,藥品分類分組名稱,含包裹支付的醫令量_合計
A000015421,SULFAMETHOXAZOLE ， 眼用液劑 ， 20.00  MG/ML ， 5.00 ML,238
A000023100,ISONIAZID ， 一般錠劑膠囊劑 ， 100.00 MG,3
A000072100,EPHEDRINE ， 一般錠劑膠囊劑 ， 25.00 MG,5778
A000076100,ACETAMINOPHEN ， 一般錠劑膠囊劑 ， 300.00 MG,1782037.7
A000096100,DIPHENHYDRAMINE ， 一般錠劑膠囊劑 ， 50.00 MG,596795.2
A000098100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 15.00 MG,13.5
A000106100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,5385.2
A000137151,GLYCYRRHIZIC ACID 0.12ML/ML + ANTIMONY POTASSIUM TARTRATE 0.24MG/ML， 口服液劑， 60.00ML,1346
A000173100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 15.00 MG,9122714.7
A000177100,CHLORZOXAZONE ， 一般錠劑膠囊劑 ， 250.00 MG,1056
A000186100,ESTRADIOL 50MCG + NORGESTREL 500MCG， 一般錠劑膠囊劑，,1377
A000199100,FUROSEMIDE ， 一般錠劑膠囊劑 ， 40.00 MG,100.6
A000208100,DIMETHICONE 20MG + ALUMINUM HYDROXIDE 200MG + MAGNESIUM HYDROXIDE 200MG， 一般錠劑膠囊劑，,286993.3
A000315100,CYPROHEPTADINE ， 一般錠劑膠囊劑 ， 4.00 MG,62.4
A000373100,AMPICILLIN ， 一般錠劑膠囊劑 ， 250.00 MG,162
A000389100,DIMETHICONE ， 一般錠劑膠囊劑 ， 40.00 MG,1441747
A000415100,DIMETHICONE ， 一般錠劑膠囊劑 ， 40.00 MG,38468945.3
A000419229,DEXAMETHASONE ， 注射劑 ， 20.00 MG,7
A000428100,BUTYLSCOPOLAMINE ， 一般錠劑膠囊劑 ， 10.00 MG,333
A000429100,NALIDIXIC ACID ， 一般錠劑膠囊劑 ， 500.00 MG,354
A000480209,EPINEPHRINE ， 注射劑 ， 1.00 MG,9
A000506100,NIACINAMIDE (=NICOTINAMIDE) 50.000MG + CALCIUM PHOSPHATE DIBASIC 50.000MG + VITAMIN A (PALMITATE) 2500.000IU + THIAMINE MONONITRATE 10.000MG + RIBOFLAVIN (=VIT B2) 5.000MG + PYRIDOXINE HCL 5.000MG， 一般錠劑膠囊劑,39
A000518100,OXYTETRACYCLINE ， 一般錠劑膠囊劑 ， 250.00 MG,4831
A000519100,TETRACYCLINE ， 一般錠劑膠囊劑 ， 250.00 MG,9
A000541100,AMPICILLIN ， 一般錠劑膠囊劑 ， 250.00 MG,27
A000572100,METOCLOPRAMIDE ， 一般錠劑膠囊劑 ， 3.84-5.00 MG,2754
A000575100,PARAMETHASONE ， 一般錠劑膠囊劑 ， 2.00 MG,15
A000582221,CHLORPHENIRAMINE 0.6MG/ML + VITAMIN B2  2MG/ML + VITAMIN B6 2MG/ML + BIOTIN 100MCG/ML + GLYCYRRHIZIC ACID 2MG/ML， 注射劑， 5.00ML,171.5
A000587100,DOXYCYCLINE ， 一般錠劑膠囊劑 ， 50.00 MG,104
A000604151,DEXTROMETHORPHAN 2.5MG/ML + POTASSIUM CRESOLSULFONATE 15MG/ML， 內服液劑， 60.00ML,4218.3
A000647100,CYPROHEPTADINE ， 一般錠劑膠囊劑 ， 2.00 MG,289.5
A000742199,CLOPERASTINE ， 口服顆粒劑 ， 177.00 MG,14661
